"nm" "bkm" "wfl" "SBez" "lage.15" "Makrolage" "NeuerVertrag" "dauermv" "gew.HH_Total" "gew.HH_Erw" "gew.md"
"111" 997.05 1164.75 85 "Ludwigvorstadt-Isarvorstadt" 3 1 0 174 0.543992050276629 0.541360416945076 1.0008582768322
"112" 775.31 880.35 101 "Ludwigvorstadt-Isarvorstadt" 3 1 0 495 0.543992050276629 0.541360416945076 1.18452668384622
"113" 629.15 680 45 "Ludwigvorstadt-Isarvorstadt" 3 1 1 14 1.08798410055326 1.08272083389015 0.961135367784455
"114" 840.8 942.3 65 "Ludwigvorstadt-Isarvorstadt" 3 1 0 176 1.08798410055326 1.08272083389015 1.0008582768322
"115" 1085 1234.41 79 "Ludwigvorstadt-Isarvorstadt" 2 1 1 0 1.08798410055326 1.08272083389015 0.961135367784455
"116" 1365 1510 80 "Ludwigvorstadt-Isarvorstadt" 3 1 0 173 1.08798410055326 1.08272083389015 1.0008582768322
"117" 1290 1430.8 66 "Ludwigvorstadt-Isarvorstadt" 3 1 1 50 1.08798410055326 1.08272083389015 0.961135367784455
"118" 882.3 942.3 43 "Ludwigvorstadt-Isarvorstadt" 3 1 0 19 1.08798410055326 1.08272083389015 0.961135367784455
"119" 1120 1258.7 70 "Ludwigvorstadt-Isarvorstadt" 3 1 1 48 1.08798410055326 1.08272083389015 0.961135367784455
"120" 1250 1442.32 73 "Ludwigvorstadt-Isarvorstadt" 3 1 1 37 1.08798410055326 1.08272083389015 0.961135367784455
"121" 857.2 952.2 58 "Ludwigvorstadt-Isarvorstadt" 3 1 0 141 0.543992050276629 0.541360416945076 1.0008582768322
"122" 2400 2541 110 "Ludwigvorstadt-Isarvorstadt" 3 1 1 20 1.08798410055326 1.08272083389015 0.961135367784455
"123" 1377.28 1477.61 110 "Ludwigvorstadt-Isarvorstadt" 3 1 0 329 1.08798410055326 1.08272083389015 1.18452668384622
"124" 1650 1800 85 "Ludwigvorstadt-Isarvorstadt" 3 1 1 33 0.543992050276629 0.541360416945076 0.961135367784455
"125" 353.46 388.49 31 "Ludwigvorstadt-Isarvorstadt" 2 1 1 62 1.08798410055326 1.08272083389015 0.961135367784455
"126" 820 916.89 47 "Ludwigvorstadt-Isarvorstadt" 2 1 1 13 1.08798410055326 1.08272083389015 0.961135367784455
"127" 696.55 770 65 "Ludwigvorstadt-Isarvorstadt" 2 1 1 66 1.08798410055326 1.08272083389015 0.961135367784455
"128" 902.49 992.49 67 "Ludwigvorstadt-Isarvorstadt" 3 1 0 171 1.08798410055326 1.08272083389015 1.0008582768322
"129" 1205 1310.5 70 "Ludwigvorstadt-Isarvorstadt" 3 1 0 102 0.543992050276629 0.541360416945076 0.961135367784455
"130" 3898.3 4000 90 "Ludwigvorstadt-Isarvorstadt" 3 1 1 20 1.08798410055326 1.08272083389015 0.961135367784455
"131" 1259.08 1309 48 "Ludwigvorstadt-Isarvorstadt" 3 1 0 29 1.08798410055326 1.08272083389015 0.961135367784455
"132" 1174.28 1380.49 83 "Ludwigvorstadt-Isarvorstadt" 3 1 0 52 1.08798410055326 1.08272083389015 0.961135367784455
"133" 1422.5 1582.22 108 "Ludwigvorstadt-Isarvorstadt" 3 1 0 150 1.08798410055326 1.08272083389015 1.0008582768322
"134" 1650 1661.29 97 "Ludwigvorstadt-Isarvorstadt" 3 1 1 28 1.08798410055326 1.08272083389015 0.961135367784455
"135" 1094 1155.2 64 "Ludwigvorstadt-Isarvorstadt" 3 1 0 180 1.08798410055326 1.08272083389015 1.0008582768322
"136" 1390 1590 79 "Ludwigvorstadt-Isarvorstadt" 2 1 1 8 0.543992050276629 0.541360416945076 0.961135367784455
"137" 2027 2357 115 "Ludwigvorstadt-Isarvorstadt" 2 1 1 11 1.08798410055326 1.08272083389015 0.961135367784455
"138" 2080.4 2352.9 125 "Ludwigvorstadt-Isarvorstadt" 2 1 1 16 0.543992050276629 0.541360416945076 0.961135367784455
"139" 803 958 52 "Ludwigvorstadt-Isarvorstadt" 2 1 1 4 0.543992050276629 0.541360416945076 0.961135367784455
"140" 1081 1345.15 107 "Ludwigvorstadt-Isarvorstadt" 2 1 0 409 1.08798410055326 1.08272083389015 1.18452668384622
"141" 2130.28 2316.24 132 "Ludwigvorstadt-Isarvorstadt" 2 1 0 55 1.08798410055326 1.08272083389015 0.961135367784455
"142" 1838.53 2012.55 154 "Ludwigvorstadt-Isarvorstadt" 2 1 0 292 0.543992050276629 0.541360416945076 1.18452668384622
"143" 740 820 50 "Ludwigvorstadt-Isarvorstadt" 2 1 0 27 0.543992050276629 0.541360416945076 0.961135367784455
"144" 832.4 1016.98 47 "Ludwigvorstadt-Isarvorstadt" 3 1 0 45 1.08798410055326 1.08272083389015 0.961135367784455
"145" 961.12 1091.12 65 "Ludwigvorstadt-Isarvorstadt" 3 1 0 49 1.08798410055326 1.08272083389015 0.961135367784455
"146" 944 1155 86 "Ludwigvorstadt-Isarvorstadt" 3 1 0 190 0.543992050276629 0.541360416945076 1.0008582768322
"147" 2350 2450.78 82 "Ludwigvorstadt-Isarvorstadt" 3 1 1 3 1.08798410055326 1.08272083389015 0.961135367784455
"148" 935 1090 54 "Ludwigvorstadt-Isarvorstadt" 3 1 1 17 1.08798410055326 1.08272083389015 0.961135367784455
"149" 863.1 1073.1 59 "Ludwigvorstadt-Isarvorstadt" 3 1 1 8 1.08798410055326 1.08272083389015 0.961135367784455
"150" 790.7 959.7 69 "Ludwigvorstadt-Isarvorstadt" 3 1 0 272 1.08798410055326 1.08272083389015 1.18452668384622
"151" 1280 1420.96 92 "Ludwigvorstadt-Isarvorstadt" 3 1 0 201 1.08798410055326 1.08272083389015 1.0008582768322
"152" 997.5 1111.9 110 "Ludwigvorstadt-Isarvorstadt" 2 1 0 285 1.08798410055326 1.08272083389015 1.18452668384622
"153" 532 586.48 56 "Ludwigvorstadt-Isarvorstadt" 3 1 0 415 1.08798410055326 1.08272083389015 1.18452668384622
"154" 692.28 787.74 54 "Ludwigvorstadt-Isarvorstadt" 3 1 0 161 1.08798410055326 1.08272083389015 1.0008582768322
"155" 1250.24 1409.76 78 "Ludwigvorstadt-Isarvorstadt" 3 1 0 91 1.08798410055326 1.08272083389015 0.961135367784455
"156" 780 880 37 "Ludwigvorstadt-Isarvorstadt" 3 1 1 13 1.08798410055326 1.08272083389015 0.961135367784455
"157" 1200 1356 78 "Ludwigvorstadt-Isarvorstadt" 3 1 1 24 1.08798410055326 1.08272083389015 0.961135367784455
